Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,FLAG_CHURN,avg_transaction_value,trans_freq_ratio,amt_freq_ration,spend_to_limit_ratio,revolving_ratio,inactive_ratio,contacts_inactivity_ratio,relationship_intensity,ct_volatility,amt_volatility
34,F,3,Uneducated,Single,$40K - $60K,Blue,20,1,2,3,8698.0,874,7824.0,0.708,15683,94,0.709,0.1,0,166.8404255319149,4.7,784.15,1.8030581742929408,0.1004828696252012,0.16666666666666666,1.0,0.05,0.29100000000000004,0.29200000000000004
46,F,4,Graduate,Divorced,$40K - $60K,Blue,39,3,1,1,2477.0,1480,997.0,0.826,5138,77,0.974,0.597,0,66.72727272727273,1.9743589743589745,131.74358974358975,2.0742834073475978,0.5974969721437222,0.08333333333333333,0.5,0.07692307692307693,0.026000000000000023,0.17400000000000004
43,F,2,Graduate,Married,$40K - $60K,Blue,36,2,3,2,4287.0,0,4287.0,0.807,4874,82,0.708,0.0,0,59.4390243902439,2.2777777777777777,135.38888888888889,1.1369255889899696,0.0,0.25,0.5,0.05555555555555555,0.29200000000000004,0.19299999999999995
48,M,5,Unknown,Unknown,$60K - $80K,Blue,36,4,1,2,4100.0,1956,2144.0,0.617,3584,61,0.743,0.477,0,58.75409836065574,1.6944444444444444,99.55555555555556,0.8741463414634146,0.4770731707317073,0.08333333333333333,1.0,0.1111111111111111,0.257,0.383
58,M,4,Graduate,Married,$120K +,Silver,45,4,2,3,34516.0,0,34516.0,0.849,15560,100,0.724,0.0,0,155.6,2.2222222222222223,345.77777777777777,0.4508054235716769,0.0,0.16666666666666666,1.0,0.08888888888888889,0.276,0.15100000000000002
48,M,1,Unknown,Divorced,$80K - $120K,Blue,36,3,1,0,3131.0,2517,614.0,0.602,1439,40,0.481,0.804,0,35.975,1.1111111111111112,39.97222222222222,0.45959757266049184,0.8038965186841265,0.08333333333333333,0.0,0.08333333333333333,0.519,0.398
40,M,3,Uneducated,Single,$80K - $120K,Blue,34,4,2,2,9124.0,2126,6998.0,0.449,4564,65,0.548,0.233,0,70.21538461538462,1.911764705882353,134.23529411764707,0.5002192021043402,0.23301183691363436,0.16666666666666666,0.6666666666666666,0.11764705882352941,0.45199999999999996,0.5509999999999999
52,F,1,College,Single,Less than $40K,Blue,43,5,2,3,1438.3,604,834.3,0.81,4219,83,0.694,0.42,0,50.83132530120482,1.930232558139535,98.11627906976744,2.933324063130084,0.4199402071890426,0.16666666666666666,1.0,0.11627906976744186,0.30600000000000005,0.18999999999999995
37,M,2,High School,Single,$60K - $80K,Blue,29,6,1,4,14575.0,0,14575.0,1.251,3444,80,0.702,0.0,0,43.05,2.7586206896551726,118.75862068965517,0.236295025728988,0.0,0.08333333333333333,2.0,0.20689655172413793,0.29800000000000004,0.2509999999999999
49,F,4,Unknown,Single,$40K - $60K,Blue,39,6,2,3,7382.0,1326,6056.0,0.806,4792,65,0.667,0.18,0,73.72307692307692,1.6666666666666667,122.87179487179488,0.6491465727445137,0.17962611758331076,0.16666666666666666,1.0,0.15384615384615385,0.33299999999999996,0.19399999999999995
